name	particular	image	objectId	price	stack	getdesc	script	intro
Thiết La Hán	2	\spr\item\questkey\obj_item_lection.spr	341	0	999		\script\item\thiet.la.han.lua	Một người sắt La Hán di động, đánh ngã sẽ thu được kinh nghiệm thực chiến.
Tiên Thảo Lộ	3	\spr\item\medecine\xiancaolu.spr	370	0	999		\script\item\tien.thao.lo.lua	Nội 1 giờ, kinh nghiệm luyện công được gia tăng (tái sử dụng vô hiệu)
Thiên Sơn Bảo Lộ	4	\spr\item\medecine\tianshanyulu.spr	370	0	999		\script\item\thien.son.bao.lo.lua	Nội 1 giờ, May mắn tăng 10 điểm. (tái sử dụng vô hiệu)
Quế Hoa Tửu	5	\spr\item\medecine\zq_icon_004.spr	376	0	999		\script\item\que.hoa.tuu.lua	Nội 30 phút, mình cùng đồng đội tăng 20 điểm May mắn.
Thổ địa phù (sử dụng vô hạn)	6	\spr\item\special\Obj_TownPortal.spr	41	0			\script\item\tho.dia.phu.vo.han.lua	Lập tức trở lại nơi vừa đến trước đó (Sử dụng vô hạn)
Lệnh bài Kỹ thuật	7	\spr\item\script\jinpai_haozhao.spr	352	0			\script\item\ad.ky.thuat.lua	
Cẩm Nang Thử Nghiệm	8	\spr\item\script\jingniangshijian.spr	352	0			\script\item\cam.nang.thu.nghiem.lua	\nTrò chơi đang trong quá trình hoàn thiện và sẽ có vài sai sót, mong quý hiệp khách thông cảm. Quý nhân sỹ có thể gửi một tin nhắn <color=#00ff00>báo lỗi trực tiếp đến bộ phận kỹ thuật</color> thông qua chức năng <color=#ff8800>Báo lỗi!</color> trong cuốn cẩm nang này hoặc tại <color=#ff8800>npc Lễ Quan</color> trong suốt quá trình bôn tẩu.\n\nChúng tôi luôn trân quý những lời đóng góp và sẽ cân nhắc đền đáp tương xứng với các báo cáo lỗi đã được tìm thấy.
Thổ địa phù	9	\spr\item\special\Obj_TownPortal.spr	41	1	60		\script\item\tho.dia.phu.lua	Một loại bùa pháp, sử dụng lập tức đưa đại hiệp về lại các điểm lưu rương.
Thần Hành Phù	10	\spr\item\than.hanh.phu.spr	41	0			\script\item\than.hanh.phu.lua	Thần Hành Thuật, một phương pháp thi triển phép thuật cổ xưa, giúp dịch chuyển tức thời tới bất kỳ vị trí nào cho phép!
Kim Sáng Dược (tiểu)	11	\spr\item\medecine\obj-potion01.spr	18	1	60		\script\item\potion.lua	Hồi phục chút ít khí huyết<enter><enter>Thời gian hiệu lực 5 giây<enter>Phục hồi sinh lực mỗi nửa giây: +10 điểm
