EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	NormalWalk	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	NormalRun	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	MeleeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
Tay kh«ng	FM_LW_000_ST01.spr	FM_LW_000_ST02.spr	FM_LW_000_ST03.spr	FM_LW_000_ST04.spr	FM_LW_000_ST05.spr	FM_LW_000_ST06.spr	FM_LW_000_WK01.spr	FM_LW_000_WK01.spr	FM_LW_000_WK02.spr	FM_LW_000_WK03.spr	FM_LW_000_WK04.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_000_RN04.spr	FM_LW_000_IJ01.spr	FM_LW_000_IJ02.spr	FM_LW_000_IJ03.spr	FM_LW_000_IJ04.spr	FM_LW_000_DE01.spr	FM_LW_000_DE02.spr	FM_LW_000_DE03.spr	FM_LW_000_DE04.spr	FM_LW_000_AT01.spr	FM_LW_000_AT02.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_000_AT05.spr	FM_LW_000_AT06.spr	FM_LW_000_AT07.spr	FM_LW_000_MG01.spr	FM_LW_000_MG02.spr	FM_LW_000_MG03.spr	FM_LW_000_MG04.spr	FM_LW_000_MG05.spr	FM_LW_000_ZZ01.spr	FM_LW_000_JP01.spr	FM_LW_000_RD01.spr	FM_LW_000_HW01.spr	FM_LW_000_HR01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA02.spr	FM_LW_000_HM01.spr	FM_LW_000_HI01.spr	FM_LW_000_HD01.spr	FM_LW_000_RD01.spr	FM_LW_000_RD01.spr
®¬n thñ kiÕm 1	FM_LW_000_ST01.spr	FM_LW_000_ST02.spr	FM_LW_000_ST03.spr	FM_LW_000_ST04.spr	FM_LW_000_ST05.spr	FM_LW_001_ST06.spr	FM_LW_000_WK01.spr	FM_LW_000_WK01.spr	FM_LW_000_WK02.spr	FM_LW_000_WK03.spr	FM_LW_001_WK04.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_001_RN04.spr	FM_LW_000_IJ01.spr	FM_LW_000_IJ02.spr	FM_LW_000_IJ03.spr	FM_LW_001_IJ04.spr	FM_LW_000_DE01.spr	FM_LW_000_DE02.spr	FM_LW_000_DE03.spr	FM_LW_001_DE04.spr	FM_LW_000_AT01.spr	FM_LW_000_AT02.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_000_AT05.spr	FM_LW_001_AT06.spr	FM_LW_001_AT07.spr	FM_LW_000_MG01.spr	FM_LW_000_MG02.spr	FM_LW_000_MG03.spr	FM_LW_000_MG04.spr	FM_LW_001_MG05.spr	FM_LW_000_ZZ01.spr	FM_LW_000_JP01.spr	FM_LW_000_RD01.spr	FM_LW_000_HW01.spr	FM_LW_000_HR01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA02.spr	FM_LW_000_HM01.spr	FM_LW_000_HI01.spr	FM_LW_000_HD01.spr	FM_LW_000_RD01.spr	FM_LW_000_RD01.spr
®¬n thñ kiÕm 2	FM_LW_000_ST01.spr	FM_LW_000_ST02.spr	FM_LW_000_ST03.spr	FM_LW_000_ST04.spr	FM_LW_000_ST05.spr	FM_LW_002_ST06.spr	FM_LW_000_WK01.spr	FM_LW_000_WK01.spr	FM_LW_000_WK02.spr	FM_LW_000_WK03.spr	FM_LW_002_WK04.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_002_RN04.spr	FM_LW_000_IJ01.spr	FM_LW_000_IJ02.spr	FM_LW_000_IJ03.spr	FM_LW_002_IJ04.spr	FM_LW_000_DE01.spr	FM_LW_000_DE02.spr	FM_LW_000_DE03.spr	FM_LW_002_DE04.spr	FM_LW_000_AT01.spr	FM_LW_000_AT02.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_000_AT05.spr	FM_LW_002_AT06.spr	FM_LW_002_AT07.spr	FM_LW_000_MG01.spr	FM_LW_000_MG02.spr	FM_LW_000_MG03.spr	FM_LW_000_MG04.spr	FM_LW_002_MG05.spr	FM_LW_000_ZZ01.spr	FM_LW_000_JP01.spr	FM_LW_000_RD01.spr	FM_LW_000_HW01.spr	FM_LW_000_HR01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA02.spr	FM_LW_000_HM01.spr	FM_LW_000_HI01.spr	FM_LW_000_HD01.spr	FM_LW_000_RD01.spr	FM_LW_000_RD01.spr
®¬n thñ kiÕm 3	FM_LW_000_ST01.spr	FM_LW_000_ST02.spr	FM_LW_000_ST03.spr	FM_LW_000_ST04.spr	FM_LW_000_ST05.spr	FM_LW_003_ST06.spr	FM_LW_000_WK01.spr	FM_LW_000_WK01.spr	FM_LW_000_WK02.spr	FM_LW_000_WK03.spr	FM_LW_003_WK04.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_003_RN04.spr	FM_LW_000_IJ01.spr	FM_LW_000_IJ02.spr	FM_LW_000_IJ03.spr	FM_LW_003_IJ04.spr	FM_LW_000_DE01.spr	FM_LW_000_DE02.spr	FM_LW_000_DE03.spr	FM_LW_003_DE04.spr	FM_LW_000_AT01.spr	FM_LW_000_AT02.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_000_AT05.spr	FM_LW_003_AT06.spr	FM_LW_003_AT07.spr	FM_LW_000_MG01.spr	FM_LW_000_MG02.spr	FM_LW_000_MG03.spr	FM_LW_000_MG04.spr	FM_LW_003_MG05.spr	FM_LW_000_ZZ01.spr	FM_LW_000_JP01.spr	FM_LW_000_RD01.spr	FM_LW_000_HW01.spr	FM_LW_000_HR01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA02.spr	FM_LW_000_HM01.spr	FM_LW_000_HI01.spr	FM_LW_000_HD01.spr	FM_LW_000_RD01.spr	FM_LW_000_RD01.spr
®¬n thñ ®ao 1	FM_LW_000_ST01.spr	FM_LW_000_ST02.spr	FM_LW_000_ST03.spr	FM_LW_000_ST04.spr	FM_LW_000_ST05.spr	FM_LW_004_ST06.spr	FM_LW_000_WK01.spr	FM_LW_000_WK01.spr	FM_LW_000_WK02.spr	FM_LW_000_WK03.spr	FM_LW_004_WK04.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_004_RN04.spr	FM_LW_000_IJ01.spr	FM_LW_000_IJ02.spr	FM_LW_000_IJ03.spr	FM_LW_004_IJ04.spr	FM_LW_000_DE01.spr	FM_LW_000_DE02.spr	FM_LW_000_DE03.spr	FM_LW_004_DE04.spr	FM_LW_000_AT01.spr	FM_LW_000_AT02.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_000_AT05.spr	FM_LW_004_AT06.spr	FM_LW_004_AT07.spr	FM_LW_000_MG01.spr	FM_LW_000_MG02.spr	FM_LW_000_MG03.spr	FM_LW_000_MG04.spr	FM_LW_004_MG05.spr	FM_LW_000_ZZ01.spr	FM_LW_000_JP01.spr	FM_LW_000_RD01.spr	FM_LW_000_HW01.spr	FM_LW_000_HR01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA02.spr	FM_LW_000_HM01.spr	FM_LW_000_HI01.spr	FM_LW_000_HD01.spr	FM_LW_000_RD01.spr	FM_LW_000_RD01.spr
®¬n thñ ®ao 2	FM_LW_000_ST01.spr	FM_LW_000_ST02.spr	FM_LW_000_ST03.spr	FM_LW_000_ST04.spr	FM_LW_000_ST05.spr	FM_LW_005_ST06.spr	FM_LW_000_WK01.spr	FM_LW_000_WK01.spr	FM_LW_000_WK02.spr	FM_LW_000_WK03.spr	FM_LW_005_WK04.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_005_RN04.spr	FM_LW_000_IJ01.spr	FM_LW_000_IJ02.spr	FM_LW_000_IJ03.spr	FM_LW_005_IJ04.spr	FM_LW_000_DE01.spr	FM_LW_000_DE02.spr	FM_LW_000_DE03.spr	FM_LW_005_DE04.spr	FM_LW_000_AT01.spr	FM_LW_000_AT02.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_000_AT05.spr	FM_LW_005_AT06.spr	FM_LW_005_AT07.spr	FM_LW_000_MG01.spr	FM_LW_000_MG02.spr	FM_LW_000_MG03.spr	FM_LW_000_MG04.spr	FM_LW_005_MG05.spr	FM_LW_000_ZZ01.spr	FM_LW_000_JP01.spr	FM_LW_000_RD01.spr	FM_LW_000_HW01.spr	FM_LW_000_HR01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA02.spr	FM_LW_000_HM01.spr	FM_LW_000_HI01.spr	FM_LW_000_HD01.spr	FM_LW_000_RD01.spr	FM_LW_000_RD01.spr
®¬n thñ ®ao 3	FM_LW_000_ST01.spr	FM_LW_000_ST02.spr	FM_LW_000_ST03.spr	FM_LW_000_ST04.spr	FM_LW_000_ST05.spr	FM_LW_006_ST06.spr	FM_LW_000_WK01.spr	FM_LW_000_WK01.spr	FM_LW_000_WK02.spr	FM_LW_000_WK03.spr	FM_LW_006_WK04.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_006_RN04.spr	FM_LW_000_IJ01.spr	FM_LW_000_IJ02.spr	FM_LW_000_IJ03.spr	FM_LW_006_IJ04.spr	FM_LW_000_DE01.spr	FM_LW_000_DE02.spr	FM_LW_000_DE03.spr	FM_LW_006_DE04.spr	FM_LW_000_AT01.spr	FM_LW_000_AT02.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_000_AT05.spr	FM_LW_006_AT06.spr	FM_LW_006_AT07.spr	FM_LW_000_MG01.spr	FM_LW_000_MG02.spr	FM_LW_000_MG03.spr	FM_LW_000_MG04.spr	FM_LW_006_MG05.spr	FM_LW_000_ZZ01.spr	FM_LW_000_JP01.spr	FM_LW_000_RD01.spr	FM_LW_000_HW01.spr	FM_LW_000_HR01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA02.spr	FM_LW_000_HM01.spr	FM_LW_000_HI01.spr	FM_LW_000_HD01.spr	FM_LW_000_RD01.spr	FM_LW_000_RD01.spr
Lo¹i tr­êng th­¬ng 1	FM_LW_000_ST01.spr	FM_LW_000_ST02.spr	FM_LW_000_ST03.spr	FM_LW_000_ST04.spr	FM_LW_000_ST05.spr	FM_LW_007_ST06.spr	FM_LW_000_WK01.spr	FM_LW_000_WK01.spr	FM_LW_000_WK02.spr	FM_LW_000_WK03.spr	FM_LW_007_WK04.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_007_RN04.spr	FM_LW_000_IJ01.spr	FM_LW_000_IJ02.spr	FM_LW_000_IJ03.spr	FM_LW_007_IJ04.spr	FM_LW_000_DE01.spr	FM_LW_000_DE02.spr	FM_LW_000_DE03.spr	FM_LW_007_DE04.spr	FM_LW_000_AT01.spr	FM_LW_000_AT02.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_000_AT05.spr	FM_LW_007_AT06.spr	FM_LW_007_AT07.spr	FM_LW_000_MG01.spr	FM_LW_000_MG02.spr	FM_LW_000_MG03.spr	FM_LW_000_MG04.spr	FM_LW_007_MG05.spr	FM_LW_000_ZZ01.spr	FM_LW_000_JP01.spr	FM_LW_000_RD01.spr	FM_LW_000_HW01.spr	FM_LW_000_HR01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA02.spr	FM_LW_000_HM01.spr	FM_LW_000_HI01.spr	FM_LW_000_HD01.spr	FM_LW_000_RD01.spr	FM_LW_000_RD01.spr
Lo¹i tr­êng th­¬ng 2	FM_LW_000_ST01.spr	FM_LW_000_ST02.spr	FM_LW_000_ST03.spr	FM_LW_000_ST04.spr	FM_LW_000_ST05.spr	FM_LW_008_ST06.spr	FM_LW_000_WK01.spr	FM_LW_000_WK01.spr	FM_LW_000_WK02.spr	FM_LW_000_WK03.spr	FM_LW_008_WK04.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_008_RN04.spr	FM_LW_000_IJ01.spr	FM_LW_000_IJ02.spr	FM_LW_000_IJ03.spr	FM_LW_008_IJ04.spr	FM_LW_000_DE01.spr	FM_LW_000_DE02.spr	FM_LW_000_DE03.spr	FM_LW_008_DE04.spr	FM_LW_000_AT01.spr	FM_LW_000_AT02.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_000_AT05.spr	FM_LW_008_AT06.spr	FM_LW_008_AT07.spr	FM_LW_000_MG01.spr	FM_LW_000_MG02.spr	FM_LW_000_MG03.spr	FM_LW_000_MG04.spr	FM_LW_008_MG05.spr	FM_LW_000_ZZ01.spr	FM_LW_000_JP01.spr	FM_LW_000_RD01.spr	FM_LW_000_HW01.spr	FM_LW_000_HR01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA02.spr	FM_LW_000_HM01.spr	FM_LW_000_HI01.spr	FM_LW_000_HD01.spr	FM_LW_000_RD01.spr	FM_LW_000_RD01.spr
Lo¹i tr­êng th­¬ng 3	FM_LW_000_ST01.spr	FM_LW_000_ST02.spr	FM_LW_000_ST03.spr	FM_LW_000_ST04.spr	FM_LW_000_ST05.spr	FM_LW_009_ST06.spr	FM_LW_000_WK01.spr	FM_LW_000_WK01.spr	FM_LW_000_WK02.spr	FM_LW_000_WK03.spr	FM_LW_009_WK04.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_009_RN04.spr	FM_LW_000_IJ01.spr	FM_LW_000_IJ02.spr	FM_LW_000_IJ03.spr	FM_LW_009_IJ04.spr	FM_LW_000_DE01.spr	FM_LW_000_DE02.spr	FM_LW_000_DE03.spr	FM_LW_009_DE04.spr	FM_LW_000_AT01.spr	FM_LW_000_AT02.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_000_AT05.spr	FM_LW_009_AT06.spr	FM_LW_009_AT07.spr	FM_LW_000_MG01.spr	FM_LW_000_MG02.spr	FM_LW_000_MG03.spr	FM_LW_000_MG04.spr	FM_LW_009_MG05.spr	FM_LW_000_ZZ01.spr	FM_LW_000_JP01.spr	FM_LW_000_RD01.spr	FM_LW_000_HW01.spr	FM_LW_000_HR01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA02.spr	FM_LW_000_HM01.spr	FM_LW_000_HI01.spr	FM_LW_000_HD01.spr	FM_LW_000_RD01.spr	FM_LW_000_RD01.spr
